Trace1,
Freq,,Amp,,
           161999838,Hz,              -80.75, dBm,
           162333171,Hz,              -81.73, dBm,
           162666504,Hz,              -80.10, dBm,
           162999837,Hz,              -79.65, dBm,
           163333170,Hz,              -81.08, dBm,
           163666503,Hz,              -82.11, dBm,
           163999836,Hz,              -79.87, dBm,
           164333169,Hz,              -79.09, dBm,
           164666502,Hz,              -81.59, dBm,
           164999835,Hz,              -37.21, dBm,
           165333168,Hz,              -80.55, dBm,
           165666501,Hz,              -79.14, dBm,
           165999834,Hz,              -82.38, dBm,
           166333167,Hz,              -80.81, dBm,
           166666500,Hz,              -71.01, dBm,
           166999833,Hz,              -80.33, dBm,
           167333166,Hz,              -81.09, dBm,
           167666499,Hz,              -80.23, dBm,
           167999832,Hz,              -80.88, dBm,
           168333165,Hz,              -79.87, dBm,
           168666498,Hz,              -81.20, dBm,
           168999831,Hz,              -81.60, dBm,
           169333164,Hz,              -79.72, dBm,
           169666497,Hz,              -78.98, dBm,
           169999830,Hz,              -36.73, dBm,
           170333163,Hz,              -81.27, dBm,
           170666496,Hz,              -81.84, dBm,
           170999829,Hz,              -81.47, dBm,
           171333162,Hz,              -79.12, dBm,
           171666495,Hz,              -81.08, dBm,
           171999828,Hz,              -82.32, dBm,
           172333161,Hz,              -80.13, dBm,
           172666494,Hz,              -80.43, dBm,
           172999827,Hz,              -79.66, dBm,
           173333160,Hz,              -81.15, dBm,
           173666493,Hz,              -81.40, dBm,
           173999826,Hz,              -80.01, dBm,
           174333159,Hz,              -80.13, dBm,
           174666492,Hz,              -79.72, dBm,
           174999825,Hz,              -36.47, dBm,
           175333158,Hz,              -80.88, dBm,
           175666491,Hz,              -78.75, dBm,
           175999824,Hz,              -78.88, dBm,
           176333157,Hz,              -80.47, dBm,
           176666490,Hz,              -82.02, dBm,
           176999823,Hz,              -80.17, dBm,
           177333156,Hz,              -79.98, dBm,
           177666489,Hz,              -79.52, dBm,
           177999822,Hz,              -81.06, dBm,
           178333155,Hz,              -80.50, dBm,
           178666488,Hz,              -81.38, dBm,
           178999821,Hz,              -81.27, dBm,
           179333154,Hz,              -79.49, dBm,
           179666487,Hz,              -81.18, dBm,
           179999820,Hz,              -37.26, dBm,
           180333153,Hz,              -82.22, dBm,
           180666486,Hz,              -80.42, dBm,
           180999819,Hz,              -80.60, dBm,
           181333152,Hz,              -80.64, dBm,
           181666485,Hz,              -79.69, dBm,
           181999818,Hz,              -79.55, dBm,
           182333151,Hz,              -80.38, dBm,
           182666484,Hz,              -80.65, dBm,
           182999817,Hz,              -80.33, dBm,
           183333150,Hz,              -80.31, dBm,
           183666483,Hz,              -80.71, dBm,
           183999816,Hz,              -80.10, dBm,
           184333149,Hz,              -80.53, dBm,
           184666482,Hz,              -80.25, dBm,
           184999815,Hz,              -38.27, dBm,
           185333148,Hz,              -78.60, dBm,
           185666481,Hz,              -81.10, dBm,
           185999814,Hz,              -80.06, dBm,
           186333147,Hz,              -79.16, dBm,
           186666480,Hz,              -81.28, dBm,
           186999813,Hz,              -79.82, dBm,
           187333146,Hz,              -81.19, dBm,
           187666479,Hz,              -80.06, dBm,
           187999812,Hz,              -80.03, dBm,
           188333145,Hz,              -81.08, dBm,
           188666478,Hz,              -79.76, dBm,
           188999811,Hz,              -81.61, dBm,
           189333144,Hz,              -80.67, dBm,
           189666477,Hz,              -80.97, dBm,
           189999810,Hz,              -38.96, dBm,
           190333143,Hz,              -79.68, dBm,
           190666476,Hz,              -80.62, dBm,
           190999809,Hz,              -79.79, dBm,
           191333142,Hz,              -82.60, dBm,
           191666475,Hz,              -78.47, dBm,
           191999808,Hz,              -79.47, dBm,
           192333141,Hz,              -81.37, dBm,
           192666474,Hz,              -79.48, dBm,
           192999807,Hz,              -80.32, dBm,
           193333140,Hz,              -79.46, dBm,
           193666473,Hz,              -79.65, dBm,
           193999806,Hz,              -81.81, dBm,
           194333139,Hz,              -79.40, dBm,
           194666472,Hz,              -78.00, dBm,
           194999805,Hz,              -38.99, dBm,
           195333138,Hz,              -80.34, dBm,
           195666471,Hz,              -81.11, dBm,
           195999804,Hz,              -80.70, dBm,
           196333137,Hz,              -80.92, dBm,
           196666470,Hz,              -80.04, dBm,
           196999803,Hz,              -77.54, dBm,
           197333136,Hz,              -80.66, dBm,
           197666469,Hz,              -80.45, dBm,
           197999802,Hz,              -80.69, dBm,
           198333135,Hz,              -80.52, dBm,
           198666468,Hz,              -81.24, dBm,
           198999801,Hz,              -80.41, dBm,
           199333134,Hz,              -81.57, dBm,
           199666467,Hz,              -81.03, dBm,
           199999800,Hz,              -37.53, dBm,
