Trace1,
Freq,,Amp,,
           163351273,Hz,              -80.80, dBm,
           163684439,Hz,              -80.35, dBm,
           164017605,Hz,              -82.04, dBm,
           164350771,Hz,              -80.52, dBm,
           164683937,Hz,              -80.76, dBm,
           165017103,Hz,              -78.38, dBm,
           165350269,Hz,              -80.19, dBm,
           165683435,Hz,              -78.76, dBm,
           166016601,Hz,              -79.94, dBm,
           166349767,Hz,              -71.59, dBm,
           166682933,Hz,              -70.17, dBm,
           167016099,Hz,              -80.20, dBm,
           167349265,Hz,              -78.66, dBm,
           167682431,Hz,              -80.72, dBm,
           168015597,Hz,              -78.68, dBm,
           168348763,Hz,              -79.30, dBm,
           168681929,Hz,              -79.24, dBm,
           169015095,Hz,              -81.14, dBm,
           169348261,Hz,              -81.34, dBm,
           169681427,Hz,              -80.61, dBm,
           170014593,Hz,              -79.92, dBm,
           170347759,Hz,              -81.55, dBm,
           170680925,Hz,              -79.97, dBm,
           171014091,Hz,              -81.85, dBm,
           171347257,Hz,              -80.44, dBm,
           171680423,Hz,              -83.23, dBm,
           172013589,Hz,              -81.40, dBm,
           172346755,Hz,              -79.69, dBm,
           172679921,Hz,              -81.27, dBm,
           173013087,Hz,              -80.88, dBm,
           173346253,Hz,              -80.34, dBm,
           173679419,Hz,              -80.20, dBm,
           174012585,Hz,              -81.47, dBm,
           174345751,Hz,              -79.36, dBm,
           174678917,Hz,              -79.61, dBm,
           175012083,Hz,              -71.26, dBm,
           175345249,Hz,              -80.13, dBm,
           175678415,Hz,              -82.28, dBm,
           176011581,Hz,              -79.48, dBm,
           176344747,Hz,              -81.30, dBm,
           176677913,Hz,              -79.28, dBm,
           177011079,Hz,              -80.38, dBm,
           177344245,Hz,              -79.16, dBm,
           177677411,Hz,              -80.36, dBm,
           178010577,Hz,              -80.32, dBm,
           178343743,Hz,              -78.24, dBm,
           178676909,Hz,              -79.75, dBm,
           179010075,Hz,              -79.50, dBm,
           179343241,Hz,              -80.49, dBm,
           179676407,Hz,              -79.50, dBm,
           180009573,Hz,              -81.82, dBm,
           180342739,Hz,              -80.98, dBm,
           180675905,Hz,              -80.34, dBm,
           181009071,Hz,              -79.67, dBm,
           181342237,Hz,              -79.09, dBm,
           181675403,Hz,              -81.54, dBm,
           182008569,Hz,              -80.39, dBm,
           182341735,Hz,              -78.98, dBm,
           182674901,Hz,              -80.39, dBm,
           183008067,Hz,              -79.33, dBm,
           183341233,Hz,              -81.60, dBm,
           183674399,Hz,              -80.67, dBm,
           184007565,Hz,              -80.20, dBm,
           184340731,Hz,              -80.24, dBm,
           184673897,Hz,              -82.30, dBm,
           185007063,Hz,              -78.77, dBm,
           185340229,Hz,              -79.52, dBm,
           185673395,Hz,              -76.79, dBm,
           186006561,Hz,              -81.06, dBm,
           186339727,Hz,              -79.49, dBm,
           186672893,Hz,              -79.73, dBm,
           187006059,Hz,              -81.11, dBm,
           187339225,Hz,              -81.47, dBm,
           187672391,Hz,              -77.66, dBm,
           188005557,Hz,              -81.67, dBm,
           188338723,Hz,              -81.95, dBm,
           188671889,Hz,              -80.54, dBm,
           189005055,Hz,              -79.37, dBm,
           189338221,Hz,              -81.48, dBm,
           189671387,Hz,              -80.73, dBm,
           190004553,Hz,              -81.54, dBm,
           190337719,Hz,              -81.94, dBm,
           190670885,Hz,              -81.78, dBm,
           191004051,Hz,              -82.51, dBm,
           191337217,Hz,              -80.52, dBm,
           191670383,Hz,              -81.23, dBm,
           192003549,Hz,              -79.39, dBm,
           192336715,Hz,              -79.83, dBm,
           192669881,Hz,              -79.54, dBm,
           193003047,Hz,              -79.51, dBm,
           193336213,Hz,              -80.30, dBm,
           193669379,Hz,              -77.42, dBm,
           194002545,Hz,              -80.24, dBm,
           194335711,Hz,              -79.44, dBm,
           194668877,Hz,              -80.31, dBm,
           195002043,Hz,              -80.31, dBm,
           195335209,Hz,              -79.95, dBm,
           195668375,Hz,              -80.53, dBm,
           196001541,Hz,              -81.90, dBm,
           196334707,Hz,              -82.21, dBm,
           196667873,Hz,              -80.67, dBm,
           197001039,Hz,              -78.93, dBm,
           197334205,Hz,              -80.57, dBm,
           197667371,Hz,              -81.57, dBm,
           198000537,Hz,              -80.47, dBm,
           198333703,Hz,              -81.29, dBm,
           198666869,Hz,              -80.93, dBm,
           199000035,Hz,              -81.80, dBm,
           199333201,Hz,              -81.47, dBm,
           199666367,Hz,              -79.49, dBm,
           199999533,Hz,              -80.60, dBm,
